id,sp,cf,ck,ct,ds,dspi,mds,mt,pr,st
935995,2018-2022,25,0,25,25,0.308,2 (2ct 0st),82,,0
343649,,,,,,,,0,,
932355,2019-2022,2,0,2,2,0.055,1 (1ct 0st),26,,0
380354,2012-2022,10,8,18,19,0.267,3 (3ct 0st),69,,1
1346729,,,,,,,,0,,
927619,2018-2022,2,0,2,2,0.1,1 (1ct 0st),11,,0
1195124,,,,,,,,0,,
926629,2020-2022,4,0,4,4,0.25,2 (2ct 0st),16,,0
486995,,,,,,,,0,,
346295,,,,,,,,0,,
536936,2015-2022,64,66,130,140,0.76,4 (4ct 0st),162,,10
833087,2018-2022,13,0,13,13,0.325,2 (2ct 0st),41,,0
1161381,2021-2022,4,0,4,4,0.266,2 (2ct 0st),8,,0
1332561,,,,,,,,0,,
627048,,,,,,,,0,,
990081,2019-2022,21,0,21,21,0.552,2 (2ct 0st),38,,0
373696,2012-2022,41,0,41,41,0.322,3 (3ct 0st),89,,0
1145089,,,,,,,,0,,
56025,2007-2022,158,0,158,159,0.379,3 (3ct 0st),386,,1
549950,2022-2022,2,0,2,2,0.5,1 (1ct 0st),5,,0
629063,2016-2022,59,0,59,59,0.39,3 (3ct 0st),123,,0
1080264,,,,,,,,0,,
56029,2005-2022,23,332,355,452,0.933,5 (5ct 0st),425,,97
330902,2015-2022,33,0,33,33,0.18,3 (3ct 0st),175,,0
550133,2016-2022,33,0,33,33,0.402,2 (2ct 0st),80,,0
924183,,,,,,,,0,,
629058,2017-2022,28,0,28,28,0.4,2 (2ct 0st),53,,0
348049,2021-2022,6,0,6,6,0.193,2 (2ct 0st),32,,0
924177,,,,,,,,0,,
410765,2016-2022,0,43,43,62,0.925,3 (3ct 0st),61,,19
1139511,2022-2022,0,0,0,0,0,0,1,,0
1204964,,,,,,,,0,,
478808,,,,,,,,0,,
343648,,,,,,,,0,,
373538,2014-2022,65,0,65,65,0.488,3 (3ct 0st),125,,0
301603,,,,,,,,0,,
629057,2018-2022,10,0,10,10,0.5,4 (4ct 0st),13,,0
420402,2013-2022,0,29,29,34,1.259,3 (3ct 0st),24,,5
819441,2022-2022,0,0,0,0,0,0,5,,0
974175,2021-2022,4,0,4,4,0.148,1 (1ct 0st),27,,0
352048,2011-2022,43,0,43,43,0.335,3 (3ct 0st),130,,0
440970,2013-2022,14,0,14,14,0.208,1 (1ct 0st),64,,0
921509,2019-2022,15,0,15,15,0.468,2 (2ct 0st),28,,0
1205142,,,,,,,,0,,
568136,2014-2022,6,0,6,6,0.187,1 (1ct 0st),33,,0
932635,2018-2022,5,0,5,5,0.333,3 (3ct 0st),8,,0
703323,2017-2022,14,0,14,14,0.608,3 (3ct 0st),20,,0
793467,2016-2022,8,0,8,8,0.19,2 (2ct 0st),42,,0
629070,2017-2022,12,0,12,12,0.19,2 (2ct 0st),63,,0
974109,2017-2022,15,0,15,15,0.164,1 (1ct 0st),92,,0
25913,2009-2022,114,0,114,114,0.471,3 (3ct 0st),243,,0
524049,2012-2022,80,0,80,80,0.479,3 (3ct 0st),168,,0
793447,2016-2022,6,0,6,6,0.206,1 (1ct 0st),29,,0
819429,2021-2022,7,0,7,7,0.304,1 (1ct 0st),23,,0
1182529,2022-2022,1,0,1,1,0.5,1 (1ct 0st),2,,0
913843,2022-2022,1,0,1,1,0.333,1 (1ct 0st),3,,0
914171,2019-2022,0,0,0,0,0,0,4,,0
974087,2019-2022,0,27,27,31,0.62,2 (2ct 0st),50,,4
793463,2015-2022,52,0,52,52,0.313,3 (3ct 0st),165,,0
1061090,2022-2022,0,0,0,0,0,0,3,,0
318339,2009-2022,40,0,40,40,0.268,2 (2ct 0st),149,,0
711559,2014-2022,17,0,17,17,0.34,2 (2ct 0st),50,,0
440968,2015-2022,4,0,4,4,0.2,1 (1ct 0st),16,,0
793457,2016-2022,8,0,8,8,0.163,1 (1ct 0st),50,,0
959759,2021-2023,19,0,19,19,0.422,2 (2ct 0st),45,,0
533956,2013-2022,24,0,24,24,0.25,2 (2ct 0st),94,,0
54565,,,,,,,,0,,
499247,,,,,,,,0,,
277912,2011-2022,100,0,100,100,0.33,3 (3ct 0st),232,,0
633362,2014-2022,8,0,8,8,0.25,3 (3ct 0st),32,,0
362541,2011-2022,22,0,22,22,0.247,2 (2ct 0st),68,,0
544558,,,,,,,,0,,
326968,2022-2023,19,0,19,19,0.441,2 (2ct 0st),39,,0
440517,2022-2022,0,10,10,12,1.5,3 (3ct 0st),8,,2
55395,2012-2022,56,0,56,56,0.391,4 (4ct 0st),115,,0
231740,,,,,,,,0,,
543466,,,,,,,,0,,
547766,2020-2023,3,0,3,3,0.23,1 (1ct 0st),13,,0
379140,2020-2023,18,16,34,38,0.475,3 (3ct 0st),68,,4
493773,2016-2023,20,0,20,20,0.232,2 (2ct 0st),85,,0
1211545,,,,,,,,0,,
438265,,,,,,,,0,,
440516,2017-2023,6,51,57,63,1.188,4 (4ct 0st),31,,6
1169661,,,,,,,,0,,
625960,2020-2022,10,0,10,10,0.208,2 (2ct 0st),32,,0
439029,,,,,,,,0,,
1208952,,,,,,,,0,,
803971,,,,,,,,0,,
226492,2009-2022,222,0,222,222,0.548,4 (4ct 0st),367,,0
438563,2014-2023,18,0,18,18,0.352,2 (2ct 0st),51,,0
388802,2012-2023,97,91,188,206,0.749,5 (5ct 0st),211,,18
1125536,2023-2023,0,0,0,0,0,0,1,,0
312174,,,,,,,,0,,
701751,,,,,,,,0,,
594654,,,,,,,,0,,
54537,,,,,,,,0,,
385029,,,,,,,,0,,
450860,2010-2022,29,0,29,29,0.381,3 (3ct 0st),77,,0
381743,2019-2023,44,0,44,44,0.488,3 (3ct 0st),77,,0
1068933,,,,,,,,0,,
355269,2012-2022,61,0,61,61,0.393,3 (3ct 0st),143,,0
539511,2015-2023,55,0,55,55,0.331,2 (2ct 0st),121,,0
1239671,,,,,,,,0,,
823509,2017-2023,38,7,45,47,0.626,4 (3ct 1st),75,,2
303423,2010-2023,62,0,62,62,0.348,4 (4ct 0st),181,,0
1229015,,,,,,,,0,,
506612,2014-2023,27,0,27,27,0.259,2 (2ct 0st),89,,0
594992,2023-2023,1,0,1,1,0.5,1 (1ct 0st),2,,0
1229005,,,,,,,,0,,
526441,2019-2023,39,0,39,39,0.433,2 (2ct 0st),91,,0
595921,2020-2023,17,0,17,17,0.34,2 (2ct 0st),50,,0
418420,,,,,,,,0,,
1229017,,,,,,,,0,,
595783,2018-2023,7,0,7,7,0.205,2 (2ct 0st),21,,0
961401,2023-2023,0,2,2,2,0.333,1 (1ct 0st),6,,0
1229023,,,,,,,,0,,
303508,2019-2022,10,0,10,10,0.294,2 (2ct 0st),34,,0
1099225,2022-2023,3,0,3,3,0.375,1 (1ct 0st),8,,0
379144,2022-2023,2,0,2,2,0.333,1 (1ct 0st),6,,0
1229014,,,,,,,,0,,
348034,2010-2023,95,0,95,95,0.441,3 (3ct 0st),221,,0
418422,,,,,,,,0,,
592593,,,,,,,,0,,
1094718,,,,,,,,0,,
571707,2015-2023,1,0,1,1,0.111,1 (1ct 0st),10,,0
1094720,,,,,,,,0,,
1229018,,,,,,,,0,,
348059,2016-2023,20,0,20,20,0.266,2 (2ct 0st),75,,0
1135028,,,,,,,,0,,
1229953,2022-2022,0,0,0,0,0,0,2,,0
1099379,2019-2023,23,0,23,23,0.319,2 (2ct 0st),72,,0
417381,2014-2023,40,0,40,40,0.392,3 (3ct 0st),104,,0
1026403,,,,,,,,0,,
1150585,,,,,,,,0,,
792135,,,,,,,,0,,
1094716,,,,,,,,0,,
54945,,,,,,,,0,,
468573,2023-2023,0,0,0,0,0,0,3,,0
774347,,,,,,,,0,,
1094717,,,,,,,,0,,
928057,2016-2023,11,67,78,83,1.05,4 (4ct 0st),81,,5
8917,2014-2023,94,0,94,94,0.299,4 (4ct 0st),261,,0
1005257,2017-2022,29,0,29,29,0.337,3 (3ct 0st),88,,0
928067,2016-2023,14,0,14,14,0.184,2 (2ct 0st),78,,0
303427,2008-2023,85,0,85,85,0.324,3 (3ct 0st),266,,0
8608,2002-2022,158,0,158,158,0.289,3 (3ct 0st),390,,0
669855,2019-2023,11,0,11,11,0.196,2 (2ct 0st),44,,0
878025,,,,,,,,0,,
297074,,,,,,,,0,,
1022077,,,,,,,,0,,
10617,2006-2022,102,0,102,102,0.214,3 (3ct 0st),336,,0
911707,2022-2023,13,0,13,13,0.419,2 (2ct 0st),27,,0
53906,,,,,,,,0,,
1112535,2021-2023,0,12,12,14,0.823,2 (2ct 0st),17,,2
297628,2015-2022,28,16,44,47,0.671,5 (5ct 0st),68,,3
1187120,,,,,,,,0,,
596417,2021-2022,1,0,1,1,0.111,1 (1ct 0st),9,,0
297085,,,,,,,,0,,
662973,2018-2023,21,0,21,21,0.205,2 (2ct 0st),80,,0
308967,2011-2023,25,380,405,450,1.222,6 (6ct 0st),322,,45
515876,,,,,,,,0,,
652945,,,,,,,,0,,
211855,2016-2022,6,0,6,6,0.285,2 (2ct 0st),20,,0
1039421,,,,,,,,0,,
521637,2016-2023,10,0,10,10,0.357,1 (1ct 0st),21,,0
878039,,,,,,,,0,,
885815,,,,,,,,0,,
364788,2018-2022,0,54,54,61,1.694,4 (4ct 0st),20,,7
473191,2022-2022,4,0,4,4,0.666,1 (1ct 0st),6,,0
885837,,,,,,,,0,,
297433,2011-2022,89,214,303,320,0.987,6 (6ct 0st),250,,17
665053,2019-2022,41,0,41,41,0.672,4 (4ct 0st),34,,0
897549,2022-2022,0,0,0,0,0,0,4,,0
288992,2013-2022,75,0,75,75,0.559,3 (3ct 0st),127,,0
1195947,,,,,,,,0,,
639080,2022-2022,1,0,1,1,0.5,1 (1ct 0st),1,,0
961407,2019-2023,44,0,44,44,0.564,3 (3ct 0st),80,,0
749957,,,,,,,,0,,
641423,2021-2022,3,0,3,3,0.142,1 (1ct 0st),11,,0
460756,2022-2022,6,0,6,6,0.315,2 (2ct 0st),10,,0
403902,2017-2022,21,0,21,21,0.488,3 (3ct 0st),42,,0
515874,,,,,,,,0,,
643885,2019-2022,4,0,4,4,0.181,1 (1ct 0st),21,,0
232438,2013-2023,34,0,34,34,0.507,4 (4ct 0st),43,,0
249866,2011-2022,74,0,74,74,0.453,2 (2ct 0st),156,,0
358259,,,,,,,,0,,
495964,2017-2023,46,0,46,46,0.464,3 (3ct 0st),98,,0
293831,2008-2022,17,109,126,138,0.932,5 (5ct 0st),132,,12
317146,,,,,,,,0,,
425639,2010-2023,15,0,15,15,0.102,2 (2ct 0st),139,,0
55354,2005-2023,43,0,43,43,0.286,2 (2ct 0st),150,,0
1119417,,,,,,,,0,,
1059122,2022-2023,2,0,2,2,0.222,1 (1ct 0st),9,,0
1094714,,,,,,,,0,,
922491,,,,,,,,0,,
696127,2022-2023,5,0,5,5,0.25,1 (1ct 0st),20,,0
541224,2014-2023,19,0,19,19,0.231,3 (3ct 0st),83,,0
465327,2021-2023,10,0,10,10,0.384,3 (3ct 0st),26,,0
493765,2021-2022,2,0,2,2,0.2,1 (1ct 0st),9,,0
1045883,2022-2023,0,6,6,6,0.857,2 (2ct 0st),7,,0
455524,2018-2022,15,0,15,15,0.25,2 (2ct 0st),32,,0
938959,2020-2023,23,0,23,23,0.298,2 (2ct 0st),75,,0
1037845,2023-2023,1,0,1,1,0.333,1 (1ct 0st),2,,0
55412,2010-2023,97,0,97,97,0.489,4 (4ct 0st),186,,0
317139,,,,,,,,0,,
946507,2021-2023,2,0,2,2,0.076,1 (1ct 0st),27,,0
571703,2015-2023,31,0,31,31,0.449,3 (3ct 0st),68,,0
722313,2022-2022,0,0,0,0,0,0,1,,0
1273947,,,,,,,,0,,
806239,2018-2023,7,0,7,7,0.304,2 (2ct 0st),21,,0
317144,,,,,,,,0,,
538592,,,,,,,,0,,
638263,,,,,,,,0,,
317148,,,,,,,,0,,
272026,,,,,,,,0,,
1122853,2019-2023,6,0,6,6,0.315,2 (2ct 0st),19,,0
538591,,,,,,,,0,,
596375,2016-2022,22,0,22,22,0.611,2 (2ct 0st),33,,0
922493,,,,,,,,0,,
235516,2013-2022,7,57,64,76,0.987,5 (4ct 1st),71,,12
827051,2017-2022,18,0,18,18,0.236,2 (2ct 0st),73,,0
946517,2021-2022,8,0,8,8,0.533,2 (2ct 0st),14,,0
1250707,,,,,,,,0,,
596456,2019-2022,5,0,5,5,0.454,2 (2ct 0st),10,,0
806241,2017-2023,9,0,9,9,0.13,2 (2ct 0st),68,,0
670013,2018-2022,32,0,32,32,0.615,2 (2ct 0st),54,,0
661441,,,,,,,,0,,
431909,2014-2023,43,0,43,43,0.457,5 (5ct 0st),55,,0
348024,2011-2023,44,0,44,44,0.278,2 (2ct 0st),93,,0
501348,,,,,,,,0,,
348026,2019-2022,13,0,13,13,0.288,1 (1ct 0st),28,,0
424631,,,,,,,,0,,
431902,2022-2022,0,0,0,0,0,0,5,,0
601968,2022-2023,2,0,2,2,0.285,2 (2ct 0st),4,,0
820677,2022-2022,0,0,0,0,0,0,9,,0
333066,2011-2022,21,11,32,35,0.406,2 (2ct 0st),86,,3
391832,2016-2023,35,0,35,35,0.294,3 (3ct 0st),86,,0
474191,,,,,,,,0,,
663639,,,,,,,,0,,
424629,,,,,,,,0,,
495551,2013-2022,35,0,35,35,0.443,3 (3ct 0st),82,,0
1168667,2020-2023,0,71,71,76,1.948,4 (4ct 0st),22,,5
355349,,,,,,,,0,,
906749,2021-2022,2,0,2,2,0.2,1 (1ct 0st),10,,0
230555,2019-2022,28,2,30,30,0.517,2 (2ct 0st),47,,0
474196,,,,,,,,0,,
355351,,,,,,,,0,,
1214080,,,,,,,,0,,
314650,2011-2022,15,0,15,15,0.405,2 (2ct 0st),23,,0
1199630,,,,,,,,0,,
1268602,,,,,,,,0,,
909779,,,,,,,,0,,
474190,,,,,,,,0,,
1325396,,,,,,,,0,,
530812,2021-2022,24,0,24,24,0.413,2 (2ct 0st),61,,0
670031,2016-2023,28,0,28,28,0.252,2 (2ct 0st),90,,0
670035,2019-2022,18,0,18,18,0.352,2 (2ct 0st),52,,0
1349230,,,,,,,,0,,
472977,,,,,,,,0,,
391485,2013-2023,144,0,144,144,0.514,3 (3ct 0st),240,,0
472975,,,,,,,,0,,
431901,2016-2022,35,0,35,35,0.327,2 (2ct 0st),110,,0
1086206,2018-2022,4,0,4,4,1.333,3 (3ct 0st),3,,0
474308,,,,,,,,0,,
56143,2006-2022,105,0,105,105,0.236,3 (3ct 0st),398,,0
535870,,,,,,,,0,,
535866,,,,,,,,0,,
535868,,,,,,,,0,,
1352206,,,,,,,,0,,
581379,2015-2022,45,124,169,182,0.962,5 (5ct 0st),161,,13
436677,2014-2022,92,0,92,92,0.582,4 (4ct 0st),149,,0
56194,2007-2022,102,0,102,102,0.239,3 (3ct 0st),378,,0
401057,2014-2022,21,0,21,21,0.25,2 (2ct 0st),54,,0
538506,2014-2022,17,0,17,17,0.145,2 (2ct 0st),110,,0
505120,2013-2023,41,0,41,41,0.532,3 (3ct 0st),72,,0
272477,2017-2022,9,0,9,9,0.45,3 (3ct 0st),21,,0
670025,2017-2022,41,3,44,44,0.363,3 (3ct 0st),113,,0
388845,,,,,,,,0,,
326434,2018-2023,5,143,148,165,1.279,6 (6ct 0st),116,,17
990039,2021-2022,13,0,13,13,0.254,1 (1ct 0st),48,,0
489889,2011-2023,58,0,58,58,0.268,2 (2ct 0st),173,,0
892749,2019-2022,15,0,15,15,0.6,4 (4ct 0st),25,,0
679567,2022-2022,0,0,0,0,0,0,1,,0
826915,2021-2022,3,0,3,3,0.375,2 (2ct 0st),8,,0
381217,,,,,,,,0,,
5334,2011-2022,128,0,128,128,0.496,4 (4ct 0st),254,,0
697059,2018-2022,0,0,0,0,0,0,3,,0
629059,2021-2022,14,0,14,14,0.5,2 (2ct 0st),23,,0
398666,2014-2022,7,0,7,7,0.411,2 (2ct 0st),17,,0
446548,2016-2023,9,0,9,9,0.3,2 (2ct 0st),24,,0
858809,,,,,,,,0,,
418423,,,,,,,,0,,
546629,,,,,,,,0,,
381268,,,,,,,,0,,
268889,,,,,,,,0,,
288284,2010-2023,51,0,51,51,0.229,2 (2ct 0st),169,,0
374936,,,,,,,,0,,
215155,2011-2023,61,0,61,61,0.391,3 (3ct 0st),106,,0
530011,2016-2023,33,0,33,33,0.25,2 (2ct 0st),101,,0
774219,2022-2022,2,0,2,2,0.5,2 (2ct 0st),4,,0
787987,2018-2023,37,0,37,37,0.397,3 (3ct 0st),62,,0
275486,,,,,,,,0,,
329336,,,,,,,,0,,
1176132,,,,,,,,0,,
272279,2011-2023,64,0,64,64,0.25,2 (2ct 0st),147,,0
944393,,,,,,,,0,,
1076713,2020-2022,26,0,26,26,0.464,3 (3ct 0st),39,,0
272450,2011-2022,67,0,67,67,0.378,4 (4ct 0st),147,,0
334337,2016-2023,37,5,42,42,0.763,3 (3ct 0st),41,,0
325026,2012-2022,125,0,125,125,0.529,4 (4ct 0st),232,,0
662235,2022-2022,3,1,4,4,0.363,1 (1ct 0st),11,,0
603410,2018-2022,13,0,13,13,0.481,3 (3ct 0st),28,,0
381311,,,,,,,,0,,
381258,,,,,,,,0,,
1193685,2023-2023,1,0,1,1,1,1 (1ct 0st),1,,0
376169,2018-2022,0,0,0,0,0,0,4,,0
275487,,,,,,,,0,,
793441,2022-2022,0,0,0,0,0,0,2,,0
922941,2020-2023,9,0,9,9,0.333,2 (2ct 0st),16,,0
734459,2022-2023,1,0,1,1,0.125,1 (1ct 0st),4,,0
623977,2022-2023,8,0,8,8,0.4,1 (1ct 0st),13,,0
941805,,,,,,,,0,,
572645,,,,,,,,0,,
725879,,,,,,,,0,,
494230,2018-2022,24,0,24,24,0.32,2 (2ct 0st),76,,0
1214078,,,,,,,,0,,
39037,2010-2022,74,0,74,74,0.317,3 (3ct 0st),150,,0
572638,,,,,,,,0,,
681117,2017-2022,25,0,25,25,0.245,2 (2ct 0st),89,,0
512191,2017-2023,70,0,70,70,0.492,2 (2ct 0st),140,,0
1144886,,,,,,,,0,,
40250,2007-2022,30,0,30,30,0.312,2 (2ct 0st),81,,0
1080011,,,,,,,,0,,
348144,2015-2023,118,0,118,118,0.421,2 (2ct 0st),241,,0
1144870,,,,,,,,0,,
260229,,,,,,,,0,,
1168651,2020-2022,8,0,8,8,0.228,1 (1ct 0st),35,,0
722303,2016-2023,8,0,8,8,0.333,1 (1ct 0st),13,,0
